id,p,theta,beta,nphe,ein,eout
2212,0.911574,0.963322,0.687028,0,0,0
211,0.62974,1.07605,0.979313,0,0,0
211,0.67628,0.314146,0.970533,0,0.0327764,0.244495
2212,2.13901,0.307514,0.913705,0,0.0353857,0.253925
211,0.965896,0.392164,0.994621,0,0,0.154223
2212,2.07568,0.260995,0.946342,0,0.0276036,0
211,1.27626,0.473812,1.00456,0,0.120577,0
211,0.292363,0.551673,0.90354,0,0,0
211,0.566873,0.730446,0.975421,0,0,0
2212,2.22171,0.298324,0.929577,0,0.0366217,0.0704967
211,2.29145,0.196985,0.990158,0,0.0610208,0.397253
2212,1.08629,0.401766,0.584059,0,0.192309,0
211,1.06691,0.374344,0.990761,0,0.0404669,0.0643626
211,0.341192,1.1937,0.893164,0,0,0
211,0.433051,0.67506,0.960235,0,0,0
2212,1.55779,0.234162,0.865517,0,0.0349737,0.349874
211,0.776074,0.778045,0.966043,0,0,0
2212,0.66804,0.53669,0.58142,0,0.0728771,0
2212,1.01106,0.49764,0.723967,0,0,0
211,0.39826,0.755311,0.946095,117,0,0
2212,1.74578,0.397926,0.879137,0,0.0254063,0.0617533
211,0.834669,0.698415,0.97876,0,0,0
2212,0.771954,0.50196,0.639633,0,0.0322271,0.0744793
211,0.294347,0.512272,0.905443,0,0,0
321,1.9411,0.179944,0.976017,0,0.0306249,0.0461891
211,1.7882,0.466498,1.00496,0,0.220188,0.186084
2212,1.35195,0.316465,0.816234,0,0.168231,0.118013
211,1.76226,0.220176,1.0019,0,0.0346075,0.056672
211,0.890059,0.315134,0.997849,0,0.0331426,0.0721904
211,1.56771,0.252396,0.99182,0,0.274617,0.0921492
211,0.230869,1.61288,0.854428,34,0,0
211,1.70291,0.314713,1.00246,0,0.233875,0.0808881
2212,1.1397,0.636057,0.765743,0,0.0831769,0.131563
2212,1.50103,0.356987,0.846007,0,0,0.0592813
211,1.16533,0.371165,0.996665,0,0.0280156,0.0649577
211,0.302434,0.306288,0.925982,0,0,0
2212,0.900893,0.55232,0.695948,0,0.178164,0.0752575
2212,2.29908,0.361787,0.93511,0,0.19144,0.340993
211,0.767681,0.478887,0.978991,22,0.0428473,0
321,1.79049,0.510015,0.97063,0,0.0357061,0.338704
2212,1.67453,0.123632,0.876956,0,0.0684367,0.119112
2212,2.19303,0.282124,0.909227,0,0.183612,0.100755
11,0.965438,0.175186,0.999518,16,0.226139,0
321,0.581827,0.797519,0.75769,0,0,0
2212,2.02487,0.470071,0.928904,0,0.0375372,0.376654
211,0.298161,1.02049,0.896327,0,0,0
211,0.865492,0.545057,0.989813,0,0.0635386,0
211,0.211185,1.21088,0.845048,0,0,0
2212,0.701305,0.282806,0.598834,0,0.090959,0
211,0.703288,0.599604,0.967748,66,0,0
211,0.783246,0.439327,0.995121,0,0.0539254,0.0415198
211,2.16114,0.26172,0.996276,0,0,0.195468
2212,1.34813,0.326594,0.80456,0,0.0361181,0.136828
211,0.419165,0.502838,0.952875,0,0,0
2212,0.888991,0.698378,0.691414,0,0,0
211,0.316167,1.13331,0.90737,0,0,0
211,0.489509,0.538161,0.948852,0,0,0
2212,1.41787,0.238921,0.831669,119,0.0364385,0.0603342
211,0.473335,0.660875,0.977599,0,0,0
211,1.50958,0.231185,0.98584,0,0.0323186,0.0698558
211,0.439155,0.944922,0.943503,0,0,0
2212,1.14473,0.478755,0.763089,0,0.0449073,0.1149
211,0.330968,1.66541,0.919059,8,0,0
2212,1.34539,0.388831,0.83859,0,0.0455482,0.108904
211,0.983597,0.184275,0.996454,176,0.0241245,0.047425
211,0.265202,0.847465,0.888713,0,0,0
2212,2.17456,0.316611,0.911722,0,0.0320897,0.0350652
2212,0.962386,0.506252,0.71414,0,0.125109,0
211,0.446937,0.719732,0.950825,0,0,0
2212,2.07126,0.34932,0.920051,0,0.301259,0.206088
2212,1.33303,0.387241,0.811875,0,0.0376745,0.110002
211,0.660105,0.268493,0.985976,0,0.03122,0.0537423
211,0.502022,1.48526,0.976266,0,0,0
211,0.437171,0.853464,0.95253,0,0,0
2212,1.49416,0.225689,0.84252,0,0.0498054,0.174411
211,0.536507,0.730501,0.965232,0,0,0
2212,0.792096,0.449066,0.639991,0,0.112886,0
211,0.278172,1.16036,0.895254,0,0,0
2212,2.71519,0.289195,0.952465,0,0.299611,0.165301
211,2.10391,0.238437,0.991286,0,0.064683,0.137652
321,1.47356,0.420258,0.961444,0,0.0353857,0.0596933
2212,1.04005,0.424092,0.743101,0,0.0480659,0.15111
2212,0.859846,0.198893,0.679652,126,0.114763,0.200046
211,1.46761,0.173657,0.975375,0,0.0163882,0.30135
211,0.670176,0.652779,0.994193,0,0,0
211,0.311589,0.862991,0.894614,0,0,0
2212,1.83474,0.389228,0.919693,0,0.0281987,0.0450446
211,0.836957,0.434917,0.972663,5,0.159487,0
2212,2.28824,0.314772,0.931658,0,0.0180362,0.0654154
2212,1.08751,0.232543,0.754937,93,0,0
211,0.658579,1.02561,0.961978,0,0,0
211,0.252689,0.764574,0.859112,0,0,0
2212,1.15373,0.30888,0.768688,0,0.0439002,0.122042
2212,2.74388,0.365712,0.956761,0,0.0396429,0.0405585
211,0.387579,0.915944,0.938228,0,0,0
211,0.557565,0.592548,0.964554,21,0,0
211,0.420539,1.40232,0.92737,0,0,0
2212,1.67391,0.241916,0.85724,0,0.084184,0.117052
321,0.643473,0.893679,0.780662,0,0,0
211,2.69795,0.158715,0.9988,0,0.371435,0.322774
211,0.364996,0.302296,0.930828,0,0,0
211,0.626841,0.549244,0.600856,0,0,0
2212,0.83299,0.353244,0.669393,0,0.0725567,0.0299382
2212,1.10277,0.427943,0.754689,0,0.17496,0.102129
211,1.75525,0.36382,0.993041,0,0.0313573,0.249943
211,0.374151,1.52141,0.938652,0,0,0
211,1.39376,0.596151,1.00829,0,0.122774,0
211,1.04753,0.394847,0.891714,0,0.164889,0.0457313
2212,2.49165,0.365599,0.936008,0,0.0590066,0.278233
211,0.508431,1.08003,0.980587,0,0,0
211,2.93385,0.206184,1.00618,0,0.0254978,0.0460975
2212,1.27459,0.409627,0.791099,0,0.0459602,0.0992905
211,0.372778,0.657901,0.91917,0,0,0
2212,2.43641,0.376677,0.922138,0,0.114305,0.111879
211,0.814984,0.724304,0.990088,0,0,0
211,1.67987,0.44159,0.997631,0,0.0442664,0.304143
211,0.373083,1.55351,0.957021,100,0,0
211,1.37606,0.299644,0.983641,0,0.0386358,0.154269
211,0.421759,0.839372,0.978226,0,0,0
211,0.471962,0.564682,0.950942,14,0,0
2212,1.02602,0.198594,0.733068,0,0.0516823,0.140993
321,2.15854,0.429878,0.980184,0,0,0.0559854
2212,0.850385,0.356071,0.673025,0,0.0731518,0
211,0.522469,0.532904,0.96557,0,0,0
211,1.8262,0.414501,1.00365,0,0.238499,0
2212,2.916,0.240423,0.971333,0,0.275807,0
211,1.22164,0.222777,1.00349,0,0.0280613,0.063859
211,2.42939,0.147571,0.995743,0,0.0346075,0.080705
2212,0.651255,0.188688,0.573574,0,0.0593271,0
2212,0.948348,0.45827,0.719484,0,0.153994,0
2212,1.50393,0.352874,0.839818,0,0.0415198,0.065507
211,0.61799,0.858003,0.973261,0,0,0
2212,1.02434,0.562075,0.73767,0,0.0695354,0.122683
2212,1.26558,0.122224,0.807215,0,0.0369421,0.0552987
211,1.47066,0.299539,1.00482,0,0.0655528,0.238819
2212,0.953841,0.894638,0.717442,0,0,0
211,2.49958,0.455832,0.98518,0,0.0325017,0.0672923
211,0.844129,0.679646,1.00054,0,0,0
211,1.01137,0.224366,0.99102,0,0.0807507,0.199176
211,1.4548,0.315419,1.00302,0,0.0311284,0.198077
211,2.34089,0.35183,0.987276,0,0.405035,0
2212,1.00633,0.588206,0.728056,0,0.0471504,0.118242
2212,0.836194,0.479223,0.676629,0,0.0594186,0.0382239
211,0.5243,0.551103,0.983886,0,0,0
211,0.857404,0.50658,0.987772,0,0,0.0508583
2212,2.16663,0.30229,0.907348,0,0.0303044,0.0605631
2212,2.66361,0.273413,0.919761,0,0.0260929,0.0403754
211,0.465095,1.14215,0.94778,0,0,0
211,2.48402,0.215126,1.00043,0,0.0622568,0.0553902
211,0.934615,0.167689,0.982391,27,0,0
2212,1.12108,0.64619,0.770151,0,0.0498054,0.0709544
211,2.54124,0.347428,0.992112,0,0.195102,0.140352
211,0.364691,1.43375,0.947011,0,0,0
2212,2.47364,0.300188,0.938545,0,0.260243,0.083772
211,0.226749,0.946946,0.842024,0,0,0
211,1.05745,0.417207,0.986286,14,0.0261845,0.23859
2212,3.02007,0.167606,0.954942,0,0,0.20412
211,0.499428,0.78335,0.979908,0,0,0
211,0.394446,0.949171,0.941489,0,0,0
2212,0.855268,0.704839,0.67692,0,0,0
211,1.39406,0.421157,1.01452,0,0.0337835,0.0455024
211,1.17403,0.755139,0.976856,0,0,0
2212,1.04814,0.236531,0.743252,0,0.0328679,0.115312
2212,0.677958,0.43142,0.583431,0,0.0747997,0
2212,1.27626,0.246056,0.811415,0,0.0492103,0.260929
211,2.64927,0.172027,0.99134,5,0.374044,0.183383
2212,1.79583,0.424848,0.887872,0,0.0287938,0.333349
211,1.81628,0.252735,0.982705,0,0.0292973,0.0397803
211,0.744183,1.00864,0.963879,0,0,0
2212,1.40566,0.319799,0.82485,0,0.0298466,0.315175
2212,2.95277,0.35084,0.952062,0,0.0518196,0.477501
211,1.38872,0.175241,0.989957,0,0.225269,0.0598764
211,0.346075,0.760696,0.934721,0,0,0
2212,0.940414,0.226186,0.708994,0,0.0800183,0
2212,1.22194,0.223677,0.793826,0,0.045594,0.198764
211,0.414282,0.738968,0.937797,0,0,0
211,1.09819,0.366315,0.982598,0,0.0385443,0.0576791
211,2.56992,0.138327,0.997405,0,0.171984,0.21355
11,1.43084,0.266338,1.00061,53,0.260426,0.0569009
2212,1.22301,0.447471,0.79095,0,0.0611124,0.113939
211,0.406958,1.02103,0.958864,0,0,0
211,1.0985,0.424135,0.993364,0,0.0246281,0.0590066
2212,1.80865,0.408914,0.895627,0,0.0311284,0.10927
321,2.30823,0.490101,1.0083,0,0.0356146,0.0596017
2212,1.08309,0.144962,0.772698,0,0.047425,0.106523
321,0.662547,0.475645,0.798992,0,0.0542916,0.116228
211,0.691997,0.588495,0.948541,0,0.106386,0
211,0.746471,0.367399,0.985538,18,0.0688945,0
211,1.12383,0.739707,0.997772,0,0,0
2212,1.59731,0.52712,0.867795,0,0.0323644,0.0693523
211,0.604257,0.605648,0.971378,0,0,0
211,0.222324,1.19781,0.826329,0,0,0
2212,2.03632,0.328099,0.890764,0,0.17052,0.193774
211,0.375067,1.30496,0.956726,0,0,0
211,0.656291,0.893052,0.99554,0,0,0
2212,0.881666,0.226074,0.691893,32,0.0670176,0.0644083
211,0.336004,1.40569,0.930782,0,0,0
2212,1.27489,0.295634,0.803374,0,0.0408331,0.0778668
211,1.08248,0.542811,1.02029,0,0,0.0479744
211,0.914015,0.199087,0.98405,0,0,0
211,1.99313,0.406557,1.01179,0,0.0422522,0.396429
2212,1.56619,0.176271,0.856803,0,0.236713,0.326345
211,1.07301,0.359973,0.965361,0,0.143648,0
2212,1.11589,0.344838,0.771395,0,0.139437,0.0825818
211,0.475319,0.590671,0.944862,0,0,0
2212,1.14504,0.498527,0.763411,0,0.0423438,0.150286
211,0.676738,0.790545,0.985623,0,0,0
211,2.2652,0.29198,1.00861,0,0.0754406,0.178256
211,0.454109,0.335461,0.962263,0,0,0
211,0.285801,0.869227,0.899461,0,0,0
211,1.33013,0.352493,1.01542,23,0.0541543,0.0585946
2212,1.05287,0.405389,0.750502,0,0.0789197,0
321,1.29168,0.396615,0.936754,0,0.0475624,0.147631
2212,3.33349,0.326971,0.96459,0,0.0426642,0.124193
211,0.245975,1.07971,0.867878,0,0,0
2212,1.28893,0.251734,0.816464,0,0.0832685,0.0125887
211,0.937667,0.683285,1.01056,0,0,0
211,0.305028,1.00098,0.900287,0,0,0
211,0.676127,0.646989,0.974397,0,0,0
211,0.698711,0.424552,0.717153,0,0,0
211,0.334478,1.03479,0.925761,0,0,0
2212,1.47478,0.397894,0.85201,0,0.0567178,0
211,0.94728,0.811513,0.996883,0,0,0
211,1.87732,0.389172,0.98469,0,0.0756695,0.379904
2212,2.61723,0.373737,0.947477,0,0.0294347,0.0602884
211,0.96376,0.432915,0.988777,0,0.033463,0.0492103
2212,0.749828,0.476837,0.626215,15,0.0776379,0
2212,1.80087,0.368193,0.879993,0,0.0410163,0.0592813
211,0.489204,0.379427,0.944824,0,0.0462806,0.0779583
211,0.535439,0.591499,0.967804,0,0,0
2212,1.11192,0.414368,0.773016,0,0.0298924,0
211,0.554208,0.793423,0.970444,72,0,0
211,0.585946,0.546627,0.985596,0,0,0
2212,2.0444,0.355061,0.899327,0,0.166537,0.227832
2212,2.33906,0.256989,0.930113,0,0.234653,0.233967
211,0.484474,0.633493,0.945189,0,0,0
211,0.392462,1.20069,0.943181,0,0,0
2212,1.76806,0.126945,0.899347,0,0.0466926,0.0584115
2212,1.49752,0.428008,0.857923,0,0.0353857,0.0931106
211,0.835737,0.587482,0.974927,0,0.0551614,0
211,0.68101,0.768894,0.973729,153,0,0
2212,2.27298,0.21143,0.914953,153,0.188693,0.172488
211,2.28351,0.254366,1.0005,0,0.0446784,0.0551156
2212,1.24361,0.448843,0.802149,0,0.0983749,0
211,2.00763,0.435874,0.982558,0,0.192996,0.0889906
211,2.22904,0.309616,1.0129,0,0.0708171,0.128908
211,1.21904,0.153257,0.991869,0,0.0146944,0
2212,0.925765,0.367908,0.699794,0,0.1122,0
211,0.548257,0.292395,0.968976,0,0.118379,0
2212,2.50813,0.300319,0.9515,0,0.592996,0.0280156
2212,0.732433,0.715346,0.618772,0,0,0
2212,1.27123,0.451985,0.811786,0,0.0358434,0.0840467
211,1.51171,0.360088,0.823782,0,0.221424,0.0496223
2212,1.85946,0.256556,0.884768,0,0.0381781,0.0912795
211,1.67605,0.246352,0.988198,0,0,0.0484321
2212,0.809644,0.843949,0.656679,0,0,0
2212,0.947433,0.488508,0.711396,0,0.0612497,0.0941634
2212,0.888533,0.460663,0.694224,0,0.0618906,0.118471
211,1.45357,0.330769,1.00093,0,0,0.190936
211,0.714733,0.348609,0.990212,0,0.0929274,0
2212,1.30495,0.530783,0.803904,0,0.0433509,0.0900435
211,0.469062,0.385263,0.959082,112,0,0
211,0.490425,0.746224,0.972538,0,0,0
2212,0.967422,0.369849,0.717595,0,0.0542916,0.103822
2212,1.04204,0.510851,0.746078,0,0.0949416,0.0725567
211,1.89502,0.327017,0.979345,0,0.035935,0.204715
211,0.287022,0.700119,0.908935,0,0,0
2212,2.05783,0.305483,0.912706,0,0.158206,0.464363
211,0.725872,0.479745,0.996266,0,0.0676585,0
2212,0.90959,0.565928,0.742651,0,0.0565805,0.0516823
211,0.234684,1.2086,0.838077,66,0,0
211,0.276646,0.752064,0.899313,83,0,0
211,0.433509,0.431545,0.939454,0,0,0
2212,0.718547,0.514318,0.557681,77,0,0
211,0.528115,0.905476,0.967877,0,0,0
211,0.637217,0.988308,0.991369,0,0,0
211,1.38033,0.147249,0.986699,0,0.271229,0
2212,1.46975,0.135321,0.83587,0,0.0914168,0.0417029
211,0.797894,0.26411,0.985633,0,0.0270542,0
211,0.628061,0.71439,0.97592,0,0,0
2212,0.942092,0.206909,0.715706,0,0.0556649,0.0898146
211,0.457771,0.946425,0.950181,0,0,0
211,1.01335,0.594609,0.988185,0,0.0332799,0.0584573
211,0.776379,0.581335,0.975754,0,0.0574502,0
321,2.79667,0.277702,0.959409,0,0.0386358,0.0379034
2212,0.955215,0.248972,0.704597,0,0.0869306,0
2212,0.78584,0.416565,0.641971,0,0.168414,0
321,1.66567,0.349077,0.967112,0,0.0297093,0.197848
2212,1.3434,0.354554,0.846563,0,0.0406958,0.0596933
2212,2.96162,0.265604,0.95027,0,0.0254978,0.047013
2212,0.777295,0.723434,0.639423,0,0,0
321,1.23201,0.412664,0.922295,0,0.037583,0.0514076
211,2.78416,0.36493,0.978894,4,0.107759,0.0861982
211,0.497597,0.605951,0.960822,0,0,0
2212,1.78729,0.318191,0.875313,0,0.0331884,0.0586862
211,0.599832,0.480893,0.965117,0,0.0281529,0
2212,0.709087,0.179862,0.601088,14,0,0
211,2.3357,0.311926,1.00233,0,0.0484779,0.256306
211,0.462654,0.703424,0.938511,0,0,0
211,0.620279,0.478792,0.980668,0,0.0352483,0.0545205
2212,1.33425,0.515448,0.814941,0,0.0468757,0.0594186
2212,1.25765,0.267946,0.806183,77,0.190616,0.048661
211,0.94667,0.421204,0.978122,0,0.0781415,0
211,0.309148,0.72214,0.915606,0,0,0
211,2.29328,0.224168,0.979748,0,0,0.0449531
2212,1.36477,0.377408,0.820745,0,0.039826,0.168093
211,0.357366,0.80892,0.940463,13,0,0
211,0.488441,1.06892,0.976091,0,0,0
2212,1.0721,0.44473,0.739283,0,0.0568093,0.124056
2212,2.66178,0.307986,0.9235,0,0.205219,0.165255
211,1.44381,0.235526,0.992765,0,0.0462348,0.0504005
211,0.513771,0.928168,0.941553,41,0,0
2212,2.41077,0.440943,0.937446,0,0.0348363,0.0851453
211,1.78668,0.339502,0.993244,0,0.0426184,0.0617533
211,1.4696,0.3158,1.01277,0,0.0612497,0.0428016
211,0.353399,0.835826,0.903002,0,0,0
211,1.90021,0.261622,0.9926,0,0.258457,0.193133
211,1.01152,0.219026,1.00049,0,0.0347906,0.0479286
2212,3.75235,0.244392,0.965189,0,0.0439918,0.443076
211,0.408942,0.774149,0.951805,0,0,0
211,2.31662,0.250489,1.0069,0,0,0.0485695
321,1.72198,0.598408,0.951095,0,0.0287938,0.0528267
2212,2.64317,0.161556,0.949919,0,0.0271,0
211,1.97879,0.235319,0.985081,0,0.0451362,0.272923
211,0.488899,0.315933,0.965904,0,0.105013,0
321,1.56191,0.388742,0.952552,0,0.033875,0.155871
2212,2.05966,0.164405,0.936857,0,0.0395972,0.243534
211,0.452583,0.527515,0.932817,0,0,0
211,0.742351,0.933117,0.976952,0,0,0
211,1.22637,0.234634,0.994262,0,0.0850538,0
211,0.523079,0.443001,0.960621,0,0.100389,0
2212,0.709392,0.178696,0.599574,0,0.0772717,0
321,1.74731,0.212708,0.943256,0,0.0364385,0.0451362
211,0.528572,0.866505,0.984888,0,0,0
2212,1.25505,0.311096,0.804225,0,0.0463722,0.0752575
2212,0.812848,0.368564,0.652977,0,0.0752575,0
321,0.822156,0.557001,0.871983,0,0.0425269,0.0730144
211,0.474708,0.935139,0.963674,0,0,0
2212,0.915084,0.511441,0.68829,0,0.0409705,0
321,2.04364,0.181486,0.968127,0,0.0343786,0.208698
2212,3.30739,0.158151,0.958672,0,0.0320439,0.520348
211,1.11986,0.426679,0.955926,0,0.0290227,0.0384527
2212,2.56336,0.249336,0.912992,0,0.199496,0.0625772
211,0.541848,0.722648,0.974232,0,0,0
211,1.23751,0.420636,0.998198,0,0.210208,0
2212,1.36049,0.382123,0.817048,0,0.0292515,0.143557
211,2.33661,0.303598,0.944307,0,0.181643,0.0368963
211,0.511635,1.22172,0.967767,0,0,0
2212,1.07576,0.343661,0.767809,0,0.0948501,0.135134
211,0.888228,0.361177,0.968374,0,0.0279698,0.156329
211,0.691997,0.850999,0.971475,0,0,0
2212,0.908675,0.409921,0.695834,0,0.0428473,0.123369
211,2.43641,0.303161,1.00079,0,0.0254063,0.055436
2212,2.29786,0.323165,0.923259,0,0.0319066,0.0514534
211,0.481422,1.09701,0.948965,161,0,0
2212,1.58938,0.264209,0.857027,0,0.103914,0.374777
2212,0.920272,0.4547,0.69697,0,0.139757,0
2212,1.69329,0.665876,0.864272,0,0.0394598,0.202564
211,0.389258,0.485295,0.946045,85,0,0
211,1.75357,0.105809,0.979517,41,0.0440833,0.277317
2212,2.57893,0.173895,0.935802,0,0.0305791,0.0405127
211,1.21782,0.606674,0.993546,0,0,0
211,1.91104,0.6355,0.98806,0,0.176974,0.241382
2212,1.33104,0.294012,0.839467,0,0.0453651,0.0966812
211,2.74876,0.22958,1.01699,35,0.0478828,0.382696
2212,1.23674,0.371146,0.830499,0,0.0387274,0.0996567
2212,0.864424,0.5145,0.678681,0,0.058732,0.0943008
2212,0.627756,0.347726,0.560279,0,0.05832,0
2212,0.733959,0.456351,0.60385,0,0.0721904,0
211,0.729992,0.64952,0.987852,0,0,0
211,2.19394,0.158716,0.980317,0,0.0418402,0.0764477
2212,1.02937,0.394881,0.748246,0,0.055848,0
2212,2.00473,0.369425,0.90647,0,0.17789,0.138476
2212,0.933089,0.519434,0.727415,0,0.0736553,0.11783
211,0.749828,0.408653,0.992399,0,0.0349279,0.0384527
211,0.927443,0.395631,0.992753,84,0,0.0754864
2212,0.746014,0.346962,0.627081,0,0.100664,0
211,0.314488,0.727515,0.908206,0,0,0
211,1.52636,0.530589,1.0029,0,0.036347,0.0489357
211,0.654765,0.186935,0.963995,37,0.031632,0.054612
211,0.428321,0.451231,0.953408,0,0,0
2212,1.82635,0.461663,0.785884,0,0.162188,0.0653239
2212,1.13344,0.53683,0.746884,0,0.157794,0.184665
211,1.06035,0.275506,0.996029,0,0.0298466,0.0405585
2212,1.10185,0.47909,0.764958,0,0.069398,0.0722362
211,0.344396,1.17072,0.926417,0,0,0
2212,0.880751,0.517759,0.690437,0,0.116503,0
211,0.810712,0.82579,0.97134,0,0,0
211,0.52842,1.00802,0.977859,0,0,0
211,0.469062,1.11591,0.959723,0,0,0
211,0.238041,1.11534,0.865758,0,0,0
211,0.474098,0.692699,0.957478,0,0,0
211,0.866407,0.321806,0.769451,0,0.0248569,0.110231
2212,3.19707,0.20412,1.00584,0,0.151156,0.152346
211,0.585031,1.08721,0.952884,0,0,0
211,0.399023,0.6361,0.954284,0,0,0
2212,1.23659,0.356037,0.801262,0,0.034699,0.0776837
211,1.30678,0.542387,0.990618,0,0.0310826,0.0937972
2212,1.55306,0.182441,0.858204,0,0.232685,0.133257
2212,1.21355,0.412335,0.780582,0,0.240558,0.253651
211,1.77279,0.13056,0.980648,0,0.0606088,0.0785534
2212,1.40978,0.406035,0.82213,0,0.04065,0.0747082
2212,1.40887,0.202824,0.839895,0,0.166262,0.290272
321,2.49683,0.36821,0.978701,0,0.049073,0.290913
2212,1.67498,0.228017,0.902887,0,0.0528267,0.0524147
211,0.520638,1.19744,0.97062,0,0,0
